asset folder,module name,source,profiles
1,10 Parsec Stars,,['AASdemo']
2,2014 MU69,,"['DarkUni-Earthquake', 'IncLive-TourSS', 'Incoming-Earthquakes', 'Incoming-HE2017']"
3,,,"['3DRainforest_V3', 'LifeBeyondEarth']"
4,51 Pegasi,,['HE_FP']
5,55 Cancri,,"['Fire and Ice', 'SpaceLife', 'SpaceLife - Copy']"
6,624 Hektor,,"['ExpReef_JTTS_TUTU', 'Incoming-Earthquakes', 'Incoming-HE2017']"
7,Alpha Centauri,,"['3DSpaceAdventure', 'DarkUni-Earthquake', 'Fire and Ice', 'HE_FP', 'Incoming-Earthquakes', 'Incoming-HE2017', 'Moon_exploration', 'NL_Superstars', 'Spaceflight2018', 'Spaceflight2018V2', 'test_x']"
8,,,"['3-5show', '3DSpaceAdventure', 'Demos_NISE', 'Spaceflight2018', 'Spaceflight2018V2', 'test_x']"
9,,,"['HE_FP', 'NL_Superstars']"
10,Arrakis (Canopic System - FICTIONAL),,"['HE_FP', 'NL_Superstars']"
0,,,"['Spaceflight2018', 'Spaceflight2018V2']"
Audio_SFWarningSystem,,,['EQK_Rock']
Audio_T2Soundtrack,,,"['Spaceflight2018', 'Spaceflight2018V2']"
BEAM,BEAM,,"['Spaceflight2018', 'Spaceflight2018V2']"
Betelgeuse_nsted,,,['UV_experiment1']
Biodome_Earth,,,"['Spaceflight2018', 'Spaceflight2018V2']"
Biodome_Mars,,,[]
brown_dwarfs,,,"['3DSpaceAdventure', 'AASdemo', 'DarkUni-Earthquake', 'ExpReef_JTTS_TUTU', 'Incoming-Earthquakes', 'Incoming-HE2017', 'Moon_exploration', 'NL_Superstars', 'test_x', 'TouroftheUniverse2014']"
C2013_R1_Lovejoy,,,"['ScalyTour', 'TONS']"
cassinispk,,,"['3DSpaceAdventure', 'ExpReef_JTTS_TUTU', 'Fire and Ice', 'IncLive-TourSS', 'Jupiter Members Show', 'LiveSS-Jupiter', 'Moon_exploration', 'Spaceflight2018', 'Spaceflight2018V2', 'test_x', 'TouroftheUniverse2014']"
CAS_mdwarf,CAS M Dwafs,,"['3DSpaceAdventure', 'AASdemo', 'Cosmoct_firstver', 'Custom_TONS', 'ExpReef_JTTS_TUTU', 'HE_FP', 'ImpactsAndExtinctions', 'Moon_exploration', 'NL_Superstars', 'ScalyTour', 'test_x', 'TONS', 'TouroftheUniverse2014']"
