module folder name,modulename,source,profiles,blank
parker,,,[],
hl_tauri,,,[],
osirisrex,,,[],
planetmarkers,,,[],
mars_earth,,,[],
UranusMoons,,,"['SS Safari', 'SS Safari']",
drakemsg,,,[],
asteroids,,,"['SS Safari', 'SS Safari']",
califa,,,[],
lhs1140,,,[],
Transhab,,,[],
HD100546,,,[],
supernovaremnants,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari']",
uranus,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari', 'SS Safari']",
UAntliae,,,[],
NGC6302Raymarched,,,[],
jupitermagneto,,,['SS Safari'],
humpback,,,[],
kep16,,,[],
S2004N1,,,[],
PlanetInteriors,,,[],
87sylvia,,,[],
Orcus,,,[],
wmap_craft,,,[],
mercury_craft,,,[],
nearstars,,,"['KSC_show', 'SS Safari']",
45P-Honda,,,[],
kep186,,,[],
zaryaunity,,,[],
SednaHighlight,,,[],
hh34,,,[],
2015RR245,,,[],
ErisMoon,,,[],
oneb,,,['KSC_show'],
mwIRASc,,,['SS Safari'],
mwESOGigaPan,,,"['KSC_show', 'SS Safari']",
Incoming_waypoints,,,[],
satellites-100brightest,,,['SS Safari'],
lro,,,[],
Mars_slides,,,[],
sloan,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari']",
soyuz,,,[],
suomi_craft,,,[],
wise,,,['KSC_show'],
Betelgeuse_nsted,,,[],
saturn,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari', 'SS Safari']",
magStream,,,[],
lexell,,,[],
fancypoles,,,[],
bar,,,['SS Safari'],
HIP11915,,,[],
GJ436,,,[],
2015PDCimpacts,,,[],
209Plinear,,,[],
gaia_craft,,,[],
lism,,,[],
GOES,,,[],
ligobloop,,,[],
distant,,,[],
k2-25,,,[],
CAS_stars_Hearts,,,[],
fermibubbles,,,[],
starwars,,,[],
Robots_In_Space_Slides,,,[],
lemscene,,,[],
spaceelevator,,,[],
C2017K2,,,[],
extragalstars,,,[],
earth_aurora,,,"['3DRainforest_V2', '3DRainforest_V3']",
grefractor20,,,[],
earth,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari', 'SS Safari']",
nestedspheres,,,[],
elisa,,,[],
pluto_nep,,,[],
skylab,,,[],
0subatomiccoords,,,[],
planckforeground,,,[],
eclip,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari']",
planetint_labels,,,['SS Safari'],
wow,,,[],
tully,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari']",
mars_sats,,,[],
m31,,,[],
617patroclus,,,[],
gaiaskymap,,,[],
PlanetNine,,,['SS Safari'],
k2fovs,,,[],
b1257_12,,,[],
HD209458,,,[],
abell,,,"['KSC_show', 'SS Safari']",
cmbr,,,['KSC_show'],
greenbank,,,[],
exoplanets_Planet9_Like,,,[],
ceres_c,,,"['SS Safari', 'SS Safari']",
2PEncke,,,[],
hubble_ksc,,,['KSC_show'],
Wormhole,,,[],
rf_slidesv3,,,['3DRainforest_V3'],
binaryasteroids,,,[],
pluto,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show']",
kep47,,,[],
KSC_Marker,,,[],
particleshowers,,,[],
lick3m,,,[],
HAT-P-11,,,[],
Amanda,,,[],
exoplanets_yearly,,,[],
2007jj43,,,[],
kuiperbelt,,,"['3DRainforest_V2', '3DRainforest_V3']",
Corvette,,,[],
eris_c,,,"['SS Safari', 'SS Safari']",
hudf,,,['KSC_show'],
Grandview-Pano,,,[],
2015TB145,,,[],
SunInterior,,,[],
cogent,,,[],
retrograde,,,[],
k2audio,,,[],
GRB,,,[],
demodex,,,[],
spacetime,,,[],
2014PN70,,,[],
wisemwcenter,,,[],
2013sidingspring,,,[],
mwFermi,,,[],
